Threshold Index,Spatial Frequency (cpd),Contrast Sensitivity (1 / RMSR)
0,0.5149290594811932,109.65774490581883
1,1.4333611746415038,88.95160775956874
2,3.4723604692596153,52.19289044800643
3,5.673606708090862,16.971042227493392
4,10.000000000000005,4.999999999999999
