Group,ID,Trial,SpatialFrequency,ContrastRatio,Duration,Key
10,42,C,1.5634955601433351,0.005611483560138585,62.54683339999974,80.06502789702235
11,42,C,1.6430960326353756,0.003772580802148,69.50365479999982,80.06502789702235
19,42,C,3.3264620166128185,0.020773717184919133,57.07446140000047,53.37668526468156
20,42,C,3.9495853853491942,0.015031833629337375,69.50365479999982,53.37668526468156
28,42,C,7.49894209332456,0.2,5.272808800000348,0.0
29,42,C,10.000000000000004,0.2,69.50365479999982,0.0
36,42,C,4.678397200056396,0.06749357484260758,43.777530899999874,26.68834263234078
37,42,C,6.050342214106982,0.05631635061199455,69.50365479999982,26.68834263234078
45,42,C,0.5594727988296426,0.013415113543336344,34.25181590000011,106.75337052936312
46,42,C,0.514929059481193,0.009119282918492124,69.50365479999982,106.75337052936312
54,42,C,0.5594727988296426,0.013415113543336344,40.7240182000005,106.75337052936312
55,42,C,0.514929059481193,0.009119282918492124,77.12685039999997,106.75337052936312
61,42,C,3.617547501769875,0.08088916621071751,60.27694650000012,26.68834263234078
62,42,C,4.678397200056396,0.06749357484260758,77.12685039999997,26.68834263234078
70,42,C,1.4156766304120734,0.012415264716874862,10.24360710000019,80.06502789702235
71,42,C,1.4877513657355363,0.00834673911497849,77.12685039999997,80.06502789702235
79,42,C,7.49894209332456,0.2,48.79881730000034,0.0
80,42,C,10.000000000000004,0.2,77.12685039999997,0.0
88,42,C,3.3264620166128185,0.020773717184919133,29.262557000000015,53.37668526468156
89,42,C,3.9495853853491942,0.015031833629337375,77.12685039999997,53.37668526468156
97,42,C,3.3264620166128185,0.020773717184919133,73.65716780000002,53.37668526468156
98,42,C,3.9495853853491942,0.015031833629337375,83.31617200000073,53.37668526468156
106,42,C,0.5594727988296426,0.013415113543336344,15.398634700000002,106.75337052936312
107,42,C,0.514929059481193,0.009119282918492124,83.31617200000073,106.75337052936312
114,42,C,4.678397200056396,0.06749357484260758,37.42106810000041,26.68834263234078
115,42,C,6.050342214106982,0.05631635061199455,83.31617200000073,26.68834263234078
124,42,C,1.4877513657355363,0.00834673911497849,66.93353090000073,80.06502789702235
125,42,C,1.5634955601433351,0.005611483560138585,83.31617200000073,80.06502789702235
133,42,C,7.49894209332456,0.2,51.434204500000305,0.0
134,42,C,10.000000000000004,0.2,83.31617200000073,0.0
142,42,C,6.050342214106982,0.05631635061199455,73.92404959999931,26.68834263234078
143,42,C,7.824611580086376,0.04699012244719573,83.56696529999954,26.68834263234078
152,42,C,1.4877513657355363,0.00834673911497849,43.8107215,80.06502789702235
153,42,C,1.5634955601433351,0.005611483560138585,83.56696529999954,80.06502789702235
161,42,C,7.49894209332456,0.2,77.71130209999956,0.0
162,42,C,10.000000000000004,0.2,83.56696529999954,0.0
170,42,C,0.5594727988296426,0.013415113543336344,34.61785189999955,106.75337052936312
171,42,C,0.514929059481193,0.009119282918492124,83.56696529999954,106.75337052936312
179,42,C,3.3264620166128185,0.020773717184919133,54.454654299999675,53.37668526468156
180,42,C,3.9495853853491942,0.015031833629337375,83.56696529999954,53.37668526468156
