Group,ID,Trial,SpatialFrequency,ContrastRatio,Duration,Key
8,63,-,7.49894209332456,0.2,18.38604429992847,0.0
9,63,-,10.000000000000004,0.2,53.771418099990115,0.0
16,63,-,1.3470935856973965,0.018466948093953335,26.86099950002972,80.06502789702235
17,63,-,1.4156766304120734,0.012415264716874862,53.771418099990115,80.06502789702235
24,63,-,0.6078697771410314,0.019734585820960972,47.64854139997624,106.75337052936312
25,63,-,0.5594727988296426,0.013415113543336344,53.771418099990115,106.75337052936312
32,63,-,2.8016483930222713,0.028708894491538347,37.137947499984875,53.37668526468156
33,63,-,3.3264620166128185,0.020773717184919133,53.771418099990115,53.37668526468156
40,63,-,4.678397200056396,0.06749357484260758,9.560515300021507,26.68834263234078
41,63,-,6.050342214106982,0.05631635061199455,53.771418099990115,26.68834263234078
47,63,-,3.617547501769875,0.08088916621071751,20.60397749999538,26.68834263234078
48,63,-,4.678397200056396,0.06749357484260758,60.29328899993561,26.68834263234078
55,63,-,0.6078697771410314,0.019734585820960972,52.13534289994277,106.75337052936312
56,63,-,0.5594727988296426,0.013415113543336344,60.29328899993561,106.75337052936312
64,63,-,3.3264620166128185,0.020773717184919133,15.865515099954791,53.37668526468156
65,63,-,3.9495853853491942,0.015031833629337375,60.29328899993561,53.37668526468156
73,63,-,7.49894209332456,0.2,6.990231700008735,0.0
74,63,-,10.000000000000004,0.2,60.29328899993561,0.0
81,63,-,1.3470935856973965,0.018466948093953335,28.511700300034136,80.06502789702235
82,63,-,1.4156766304120734,0.012415264716874862,60.29328899993561,80.06502789702235
91,63,-,1.4877513657355363,0.00834673911497849,22.772775800083764,80.06502789702235
92,63,-,1.5634955601433351,0.005611483560138585,51.75209170009475,80.06502789702235
99,63,-,0.6078697771410314,0.019734585820960972,9.242700700066052,106.75337052936312
100,63,-,0.5594727988296426,0.013415113543336344,51.75209170009475,106.75337052936312
107,63,-,4.678397200056396,0.06749357484260758,30.947788200108334,26.68834263234078
108,63,-,6.050342214106982,0.05631635061199455,51.75209170009475,26.68834263234078
114,63,-,2.3596342537278647,0.03967516336097116,36.753477000049315,53.37668526468156
115,63,-,2.8016483930222713,0.028708894491538347,51.75209170009475,53.37668526468156
122,63,-,5.623413251903492,0.2,44.51134970004205,0.0
123,63,-,7.49894209332456,0.2,51.75209170009475,0.0
129,63,-,4.216965034285824,0.2,16.583031399990432,0.0
130,63,-,5.623413251903492,0.2,55.421954199904576,0.0
138,63,-,1.4156766304120734,0.012415264716874862,37.33711189997848,80.06502789702235
139,63,-,1.4877513657355363,0.00834673911497849,55.421954199904576,80.06502789702235
146,63,-,2.8016483930222713,0.028708894491538347,27.610477400012314,53.37668526468156
147,63,-,3.3264620166128185,0.020773717184919133,55.421954199904576,53.37668526468156
153,63,-,3.617547501769875,0.08088916621071751,49.21564109995961,26.68834263234078
154,63,-,4.678397200056396,0.06749357484260758,55.421954199904576,26.68834263234078
161,63,-,0.6078697771410314,0.019734585820960972,7.907622699975036,106.75337052936312
162,63,-,0.5594727988296426,0.013415113543336344,55.421954199904576,106.75337052936312
