Group,ID,Trial,SpatialFrequency,ContrastRatio,Duration,Key
8,46,C,7.49894209332456,0.2,19.35322459999952,0.0
9,46,C,10.000000000000004,0.2,69.18647839999994,0.0
17,46,C,6.050342214106982,0.05631635061199455,29.99671749999925,26.68834263234078
18,46,C,7.824611580086376,0.04699012244719573,69.18647839999994,26.68834263234078
26,46,C,3.3264620166128185,0.020773717184919133,9.226584299999558,53.37668526468156
27,46,C,3.9495853853491942,0.015031833629337375,69.18647839999994,53.37668526468156
35,46,C,1.4156766304120734,0.012415264716874862,42.126293299999816,80.06502789702235
36,46,C,1.4877513657355363,0.00834673911497849,69.18647839999994,80.06502789702235
44,46,C,0.5594727988296426,0.013415113543336344,60.378051499999856,106.75337052936312
45,46,C,0.514929059481193,0.009119282918492124,69.18647839999994,106.75337052936312
53,46,C,3.3264620166128185,0.020773717184919133,84.21739069999967,53.37668526468156
54,46,C,3.9495853853491942,0.015031833629337375,91.00733779999973,53.37668526468156
62,46,C,1.4156766304120734,0.012415264716874862,15.481828599999972,80.06502789702235
63,46,C,1.4877513657355363,0.00834673911497849,91.00733779999973,80.06502789702235
71,46,C,0.5594727988296426,0.013415113543336344,69.95319819999986,106.75337052936312
72,46,C,0.514929059481193,0.009119282918492124,91.00733779999973,106.75337052936312
80,46,C,7.49894209332456,0.2,33.93386299999929,0.0
81,46,C,10.000000000000004,0.2,91.00733779999973,0.0
90,46,C,7.824611580086376,0.04699012244719573,53.58676299999934,26.68834263234078
91,46,C,10.119187347200068,0.03920835749488641,91.00733779999973,26.68834263234078
98,46,C,1.3470935856973965,0.018466948093953335,44.77842429999964,80.06502789702235
99,46,C,1.4156766304120734,0.012415264716874862,82.84974739999961,80.06502789702235
108,46,C,7.824611580086376,0.04699012244719573,9.709879299999557,26.68834263234078
109,46,C,10.119187347200068,0.03920835749488641,82.84974739999961,26.68834263234078
117,46,C,0.5594727988296426,0.013415113543336344,72.72283549999975,106.75337052936312
118,46,C,0.514929059481193,0.009119282918492124,82.84974739999961,106.75337052936312
125,46,C,2.8016483930222713,0.028708894491538347,21.054535600000236,53.37668526468156
126,46,C,3.3264620166128185,0.020773717184919133,82.84974739999961,53.37668526468156
135,46,C,10.000000000000004,0.2,36.953723900000114,0.0
136,46,C,13.335214321633243,0.2,82.84974739999961,0.0
144,46,C,3.3264620166128185,0.020773717184919133,6.823386300000493,53.37668526468156
145,46,C,3.9495853853491942,0.015031833629337375,63.73051269999996,53.37668526468156
153,46,C,0.5594727988296426,0.013415113543336344,45.728899300000194,106.75337052936312
154,46,C,0.514929059481193,0.009119282918492124,63.73051269999996,106.75337052936312
162,46,C,7.49894209332456,0.2,17.967938100000538,0.0
163,46,C,10.000000000000004,0.2,63.73051269999996,0.0
171,46,C,6.050342214106982,0.05631635061199455,57.20693680000022,26.68834263234078
172,46,C,7.824611580086376,0.04699012244719573,63.73051269999996,26.68834263234078
182,46,C,1.5634955601433351,0.005611483560138585,32.58234960000027,80.06502789702235
183,46,C,1.6430960326353756,0.003772580802148,63.73051269999996,80.06502789702235
